Movie Name,Is Active?,Movie Tier (Indie/Mainstream/Blockbuster),Production Cost,Imdb_Id,status,price,Link to Movie
,,,,,,,
Pillion,TRUE,"Mainstream (Price 50,000)",50000000,tt32321317,,50000,imdb.com/title/tt32321317
Moses the Black,TRUE,"Indie (Price 25,000)",5000000,tt32542065,,25000,imdb.com/title/tt32542065
Shelter,TRUE,"Indie (Price 25,000)",5000000,tt32357218,,25000,imdb.com/title/tt32357218
Calle Málaga,TRUE,"Indie (Price 25,000)",5000000,tt32429174,,25000,imdb.com/title/tt32429174
The Strange Dark,TRUE,"Indie (Price 25,000)",5000000,tt32330904,,25000,imdb.com/title/tt32330904
GOAT,TRUE,"Indie (Price 25,000)",5000000,tt32499880,,25000,imdb.com/title/tt32499880
Three Bags Full: A Sheep Detective Movie,TRUE,"Mainstream (Price 50,000)",50000000,tt32566481,,50000,imdb.com/title/tt32566481
The Mummy,TRUE,"Mainstream (Price 50,000)",50000000,tt32612507,,50000,imdb.com/title/tt32612507
Solo Mio,TRUE,"Indie (Price 25,000)",5000000,tt32306991,,25000,imdb.com/title/tt32306991
Alpha,TRUE,"Indie (Price 25,000)",5000000,tt32275943,,25000,imdb.com/title/tt32275943
The Format,TRUE,"Indie (Price 25,000)",5000000,tt7584540,,25000,imdb.com/title/tt7584540
The Third Parent,TRUE,"Indie (Price 25,000)",5000000,tt8702454,,25000,imdb.com/title/tt8702454
Apollo Jump,TRUE,"Indie (Price 25,000)",5000000,tt9212480,,25000,imdb.com/title/tt9212480
How to Make a Killing,TRUE,"Indie (Price 25,000)",5000000,tt4357198,,25000,imdb.com/title/tt4357198
The AI Doc: Or How I Became an Apocaloptimist,TRUE,"Indie (Price 25,000)",5000000,tt39150120,,25000,imdb.com/title/tt39150120
Puzzled Literature,TRUE,"Indie (Price 25,000)",5000000,tt39176077,,25000,imdb.com/title/tt39176077
Send Help,TRUE,"Indie (Price 25,000)",5000000,tt8036976,,25000,imdb.com/title/tt8036976
Unrequited,TRUE,"Indie (Price 25,000)",5000000,tt39132261,,25000,imdb.com/title/tt39132261
Night Patrol,TRUE,"Indie (Price 25,000)",5000000,tt8637438,,25000,imdb.com/title/tt8637438
Reminders of Him,TRUE,"Indie (Price 25,000)",5000000,tt33714084,,25000,imdb.com/title/tt33714084
The Devil Wears Prada 2,TRUE,"Mainstream (Price 50,000)",50000000,tt33612209,,50000,imdb.com/title/tt33612209
The Breadwinner,TRUE,"Indie (Price 25,000)",5000000,tt34459219,,25000,imdb.com/title/tt34459219
I Can Only Imagine 2,TRUE,"Indie (Price 25,000)",5000000,tt34888646,,25000,imdb.com/title/tt34888646
Vie privée,TRUE,"Indie (Price 25,000)",5000000,tt33852162,,25000,imdb.com/title/tt33852162
EPiC: Elvis Presley in Concert,TRUE,"Indie (Price 25,000)",5000000,tt35003538,,25000,imdb.com/title/tt35003538
Sprunki: The Movie,TRUE,"Indie (Price 25,000)",5000000,tt33995693,,25000,imdb.com/title/tt33995693
VHS Summer Camp,TRUE,"Indie (Price 25,000)",5000000,tt35131160,,25000,imdb.com/title/tt35131160
Ready or Not 2: Here I Come,TRUE,"Mainstream (Price 50,000)",50000000,tt33978029,,50000,imdb.com/title/tt33978029
Dialing Death,TRUE,"Indie (Price 25,000)",5000000,tt39041929,,25000,imdb.com/title/tt39041929
Insulation,TRUE,"Indie (Price 25,000)",5000000,tt38854597,,25000,imdb.com/title/tt38854597
Six String Sky,TRUE,"Indie (Price 25,000)",5000000,tt38625188,,25000,imdb.com/title/tt38625188
"Saucers, Spooks and Kooks",TRUE,"Indie (Price 25,000)",5000000,tt39095446,,25000,imdb.com/title/tt39095446
Machiavelli Story of yum66,TRUE,"Indie (Price 25,000)",5000000,tt38584143,,25000,imdb.com/title/tt38584143
