movie_name,movie_imdb_id,release_date,actor_name,actor_imdb_id,rank
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Claire Foy,nm2946516,1
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Brendan Gleeson,nm0322407,2
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Imogen Dufty,nm16591019,3
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Denise Gough,nm1740112,4
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Josh Dylan,nm8152860,5
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Arty Froushan,nm8284671,6
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Sam Spruell,nm0819874,7
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Emma Cunniffe,nm0192209,8
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Sean Kearns,nm0444036,9
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Claudius Peters,nm5680429,10
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Katy Carmichael,nm0138446,11
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Miranda Shamiso,nm9725707,12
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Darcy Alexander,nm17693759,13
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Lindsay Duncan,nm0242026,14
H Is for Hawk,tt10329560,2026-01-23 00:00:00,Sarah Anderson,nm10846527,15
Michael,tt11378946,2026-04-24 00:00:00,Jaafar Jackson,nm4170484,1
Michael,tt11378946,2026-04-24 00:00:00,Juliano Krue Valdi,nm13303880,2
Michael,tt11378946,2026-04-24 00:00:00,Colman Domingo,nm0231458,3
Michael,tt11378946,2026-04-24 00:00:00,Nia Long,nm0000505,4
Michael,tt11378946,2026-04-24 00:00:00,Larenz Tate,nm0005478,5
Michael,tt11378946,2026-04-24 00:00:00,Kat Graham,nm0334159,6
Michael,tt11378946,2026-04-24 00:00:00,Derek Luke,nm1035682,7
Michael,tt11378946,2026-04-24 00:00:00,KeiLyn Durrel Jones,nm3252039,8
Michael,tt11378946,2026-04-24 00:00:00,Miles Teller,nm1886602,9
Michael,tt11378946,2026-04-24 00:00:00,Katie Kay,nm10768624,10
Michael,tt11378946,2026-04-24 00:00:00,Kendrick Sampson,nm3069604,11
Michael,tt11378946,2026-04-24 00:00:00,Hank Northrop,nm6144938,12
Michael,tt11378946,2026-04-24 00:00:00,Micah McNeil,nm8244100,13
Michael,tt11378946,2026-04-24 00:00:00,Jessica Sula,nm4088627,14
Michael,tt11378946,2026-04-24 00:00:00,Joe Gillette,nm4227676,15
Love Me Dead,tt11680698,2026-02-13 00:00:00,Dove Cameron,nm4874651,1
Love Me Dead,tt11680698,2026-02-13 00:00:00,RJ Mitte,nm2666409,2
Love Me Dead,tt11680698,2026-02-13 00:00:00,Robert LaSardo,nm0489436,3
Love Me Dead,tt11680698,2026-02-13 00:00:00,Pia Mia,nm3922847,4
Love Me Dead,tt11680698,2026-02-13 00:00:00,Austyn Knight,nm11316114,5
Love Me Dead,tt11680698,2026-02-13 00:00:00,Gigi Gustin,nm8435114,6
Love Me Dead,tt11680698,2026-02-13 00:00:00,Jay Giannone,nm0316310,7
Love Me Dead,tt11680698,2026-02-13 00:00:00,Kirsten Collins,nm3482668,8
Love Me Dead,tt11680698,2026-02-13 00:00:00,Lauren Francesca,nm3270989,9
Love Me Dead,tt11680698,2026-02-13 00:00:00,Anika C. McFall,nm1655887,10
Love Me Dead,tt11680698,2026-02-13 00:00:00,Chelsea O'Toole,nm1837723,11
Love Me Dead,tt11680698,2026-02-13 00:00:00,Emily Krusche-Bruck,nm6745370,12
Love Me Dead,tt11680698,2026-02-13 00:00:00,Adam Pepper,nm1166921,13
Love Me Dead,tt11680698,2026-02-13 00:00:00,Michael Girgenti,nm3723214,14
Love Me Dead,tt11680698,2026-02-13 00:00:00,Max Reeves,nm10430587,15
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Ryan Gosling,nm0331516,1
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Milana Vayntrub,nm2168927,2
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Sandra Hüller,nm1197689,3
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Ken Leung,nm0504962,4
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Liz Kingsman,nm7284697,5
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Lionel Boyce,nm5152633,6
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Aaron Neil,nm1208035,7
Project Hail Mary,tt12042730,2026-03-20 00:00:00,James Ortiz,nm4013922,8
Project Hail Mary,tt12042730,2026-03-20 00:00:00,James Wright,nm15724785,9
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Orion Lee,nm4093657,10
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Isla McRae,nm16165407,11
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Robert James Smith,nm13802387,12
Project Hail Mary,tt12042730,2026-03-20 00:00:00,Bastian Antonio Fuentes,nm10072799,13
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Miranda Otto,nm0001584,1
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Nick Offerman,nm0644406,2
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Amy Sedaris,nm0781238,3
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Remy Hii,nm3600780,4
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Mark Coles Smith,nm1322528,5
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Jordin Sparks,nm2554052,6
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Nina Oyama,nm5998237,7
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Bessie Holland,nm6684707,8
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Nazeem Hussain,nm3832280,9
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Andrew Buchanan,nm0117970,10
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Mel Buttle,nm3653648,11
The Pout-Pout Fish,tt12824390,2026-03-20 00:00:00,Grant Denyer,nm1489101,12
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Liam Neeson,nm0000553,1
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Jack Dylan Grazer,nm6244013,2
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Teresa Palmer,nm1954240,3
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Spike Fearn,nm10514458,4
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Jim Sturgess,nm0836343,5
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Catherine Caylee Cowan,nm9090581,6
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Whitney Peak,nm8857173,7
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Talia Ryder,nm7867621,8
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Deacon Phillippe,nm11213606,9
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Sam Strike,nm5307635,10
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,George Basil,nm4097479,11
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Stephanie Karam,nm12345241,12
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Christine Torto,nm12122362,13
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Brigid Leahy,nm8414895,14
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Sorcha Real,nm13804450,15
Booo,tt13245002,2026-03-26 00:00:00,Val McAdoo,nm9590988,1
Booo,tt13245002,2026-03-26 00:00:00,Elizabeth Caponigro,nm9336238,2
Booo,tt13245002,2026-03-26 00:00:00,Elaina Marin,nm10810444,3
Booo,tt13245002,2026-03-26 00:00:00,Fetteroff Colen,nm0171266,4
Booo,tt13245002,2026-03-26 00:00:00,Danny Plaza,nm5700531,5
Booo,tt13245002,2026-03-26 00:00:00,Tim Duncan,nm14725037,6
Booo,tt13245002,2026-03-26 00:00:00,Markus Schaub,nm0770265,7
Booo,tt13245002,2026-03-26 00:00:00,Frank Volpe,nm3531665,8
Booo,tt13245002,2026-03-26 00:00:00,Tyler Andrews,nm11802313,9
Booo,tt13245002,2026-03-26 00:00:00,Theron G. Johnson,nm10924012,10
Booo,tt13245002,2026-03-26 00:00:00,John Fogarty,nm10556561,11
Booo,tt13245002,2026-03-26 00:00:00,Shanea Lattimore,nm5912641,12
Booo,tt13245002,2026-03-26 00:00:00,Craig Betz,nm11149836,13
Booo,tt13245002,2026-03-26 00:00:00,Grace McAdoo,nm12339115,14
Booo,tt13245002,2026-03-26 00:00:00,Diane Turnier,nm14762841,15
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Sam Rockwell,nm0005377,1
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Stevel Marc,nm2987241,2
