Type,Active,Name,Imdb id,Movie Tier,Production Cost,Rank,Price
Movie,TRUE,H Is for Hawk,tt10329560,Indie,5000000,,25000
Director,TRUE,Philippa Lowthorpe,nm1339400,,,,5000
Actor,TRUE,Claire Foy,nm2946516,,,1,5000
Actor,TRUE,Brendan Gleeson,nm0322407,,,2,5000
Actor,TRUE,Imogen Dufty,nm16591019,,,3,5000
Actor,TRUE,Denise Gough,nm1740112,,,4,5000
Actor,TRUE,Josh Dylan,nm8152860,,,5,5000
Actor,TRUE,Arty Froushan,nm8284671,,,6,2500
Actor,TRUE,Sam Spruell,nm0819874,,,7,2500
Actor,TRUE,Emma Cunniffe,nm0192209,,,8,2500
Actor,TRUE,Sean Kearns,nm0444036,,,9,2500
Actor,TRUE,Claudius Peters,nm5680429,,,10,2500
Actor,TRUE,Katy Carmichael,nm0138446,,,11,1000
Actor,TRUE,Miranda Shamiso,nm9725707,,,12,1000
Actor,TRUE,Darcy Alexander,nm17693759,,,13,1000
Actor,TRUE,Lindsay Duncan,nm0242026,,,14,1000
Actor,TRUE,Sarah Anderson,nm10846527,,,15,1000
,,,,,,,
Movie,TRUE,Michael,tt11378946,Indie,5000000,,25000
Director,TRUE,Antoine Fuqua,nm0298807,,,,5000
Actor,TRUE,Jaafar Jackson,nm4170484,,,1,5000
Actor,TRUE,Juliano Krue Valdi,nm13303880,,,2,5000
Actor,TRUE,Colman Domingo,nm0231458,,,3,5000
Actor,TRUE,Nia Long,nm0000505,,,4,5000
Actor,TRUE,Larenz Tate,nm0005478,,,5,5000
Actor,TRUE,Kat Graham,nm0334159,,,6,2500
Actor,TRUE,Derek Luke,nm1035682,,,7,2500
Actor,TRUE,KeiLyn Durrel Jones,nm3252039,,,8,2500
Actor,TRUE,Miles Teller,nm1886602,,,9,2500
Actor,TRUE,Katie Kay,nm10768624,,,10,2500
Actor,TRUE,Kendrick Sampson,nm3069604,,,11,1000
Actor,TRUE,Hank Northrop,nm6144938,,,12,1000
Actor,TRUE,Micah McNeil,nm8244100,,,13,1000
Actor,TRUE,Jessica Sula,nm4088627,,,14,1000
Actor,TRUE,Joe Gillette,nm4227676,,,15,1000
,,,,,,,
Movie,TRUE,Love Me Dead,tt11680698,Indie,5000000,,25000
Director,TRUE,Josh Webber,nm3265368,,,,5000
Actor,TRUE,Dove Cameron,nm4874651,,,1,5000
Actor,TRUE,RJ Mitte,nm2666409,,,2,5000
Actor,TRUE,Robert LaSardo,nm0489436,,,3,5000
Actor,TRUE,Pia Mia,nm3922847,,,4,5000
Actor,TRUE,Austyn Knight,nm11316114,,,5,5000
Actor,TRUE,Gigi Gustin,nm8435114,,,6,2500
Actor,TRUE,Jay Giannone,nm0316310,,,7,2500
Actor,TRUE,Kirsten Collins,nm3482668,,,8,2500
Actor,TRUE,Lauren Francesca,nm3270989,,,9,2500
Actor,TRUE,Anika C. McFall,nm1655887,,,10,2500
Actor,TRUE,Chelsea O'Toole,nm1837723,,,11,1000
Actor,TRUE,Emily Krusche-Bruck,nm6745370,,,12,1000
Actor,TRUE,Adam Pepper,nm1166921,,,13,1000
Actor,TRUE,Michael Girgenti,nm3723214,,,14,1000
Actor,TRUE,Max Reeves,nm10430587,,,15,1000
,,,,,,,
Movie,TRUE,Project Hail Mary,tt12042730,Indie,5000000,,25000
Director,TRUE,Phil Lord,nm0520488,,,,5000
Director,TRUE,Christopher Miller,nm0588087,,,,5000
Actor,TRUE,Ryan Gosling,nm0331516,,,1,5000
Actor,TRUE,Milana Vayntrub,nm2168927,,,2,5000
Actor,TRUE,Sandra Hüller,nm1197689,,,3,5000
Actor,TRUE,Ken Leung,nm0504962,,,4,5000
Actor,TRUE,Liz Kingsman,nm7284697,,,5,5000
Actor,TRUE,Lionel Boyce,nm5152633,,,6,2500
Actor,TRUE,Aaron Neil,nm1208035,,,7,2500
Actor,TRUE,James Ortiz,nm4013922,,,8,2500
Actor,TRUE,James Wright,nm15724785,,,9,2500
Actor,TRUE,Orion Lee,nm4093657,,,10,2500
Actor,TRUE,Isla McRae,nm16165407,,,11,1000
Actor,TRUE,Robert James Smith,nm13802387,,,12,1000
Actor,TRUE,Bastian Antonio Fuentes,nm10072799,,,13,1000
,,,,,,,
Movie,TRUE,The Pout-Pout Fish,tt12824390,Indie,5000000,,25000
Director,TRUE,Ricard Cussó,nm6466474,,,,5000
Director,TRUE,Rio Harrington,nm3130515,,,,5000
Actor,TRUE,Miranda Otto,nm0001584,,,1,5000
Actor,TRUE,Nick Offerman,nm0644406,,,2,5000
Actor,TRUE,Amy Sedaris,nm0781238,,,3,5000
Actor,TRUE,Remy Hii,nm3600780,,,4,5000
Actor,TRUE,Mark Coles Smith,nm1322528,,,5,5000
Actor,TRUE,Jordin Sparks,nm2554052,,,6,2500
Actor,TRUE,Nina Oyama,nm5998237,,,7,2500
Actor,TRUE,Bessie Holland,nm6684707,,,8,2500
Actor,TRUE,Nazeem Hussain,nm3832280,,,9,2500
Actor,TRUE,Andrew Buchanan,nm0117970,,,10,2500
Actor,TRUE,Mel Buttle,nm3653648,,,11,1000
Actor,TRUE,Grant Denyer,nm1489101,,,12,1000
,,,,,,,
Movie,TRUE,4 Kids Walk Into a Bank,tt13071984,Indie,5000000,,25000
Director,TRUE,Frankie Shaw,nm1951390,,,,5000
Actor,TRUE,Liam Neeson,nm0000553,,,1,5000
Actor,TRUE,Jack Dylan Grazer,nm6244013,,,2,5000
Actor,TRUE,Teresa Palmer,nm1954240,,,3,5000
Actor,TRUE,Spike Fearn,nm10514458,,,4,5000
Actor,TRUE,Jim Sturgess,nm0836343,,,5,5000
Actor,TRUE,Catherine Caylee Cowan,nm9090581,,,6,2500
Actor,TRUE,Whitney Peak,nm8857173,,,7,2500
Actor,TRUE,Talia Ryder,nm7867621,,,8,2500
Actor,TRUE,Deacon Phillippe,nm11213606,,,9,2500
Actor,TRUE,Sam Strike,nm5307635,,,10,2500
Actor,TRUE,George Basil,nm4097479,,,11,1000
Actor,TRUE,Stephanie Karam,nm12345241,,,12,1000
Actor,TRUE,Christine Torto,nm12122362,,,13,1000
Actor,TRUE,Brigid Leahy,nm8414895,,,14,1000
Actor,TRUE,Sorcha Real,nm13804450,,,15,1000
,,,,,,,
Movie,TRUE,Booo,tt13245002,Mainstream,0,,0
Director,TRUE,Joshua Coates,nm3172762,,,,
Director,TRUE,Fetteroff Colen,nm0171266,,,,
Actor,TRUE,Val McAdoo,nm9590988,,,1,0
Actor,TRUE,Elizabeth Caponigro,nm9336238,,,2,0
Actor,TRUE,Elaina Marin,nm10810444,,,3,0
Actor,TRUE,Fetteroff Colen,nm0171266,,,4,0
Actor,TRUE,Danny Plaza,nm5700531,,,5,0
Actor,TRUE,Tim Duncan,nm14725037,,,6,0
Actor,TRUE,Markus Schaub,nm0770265,,,7,0
Actor,TRUE,Frank Volpe,nm3531665,,,8,0
